name,state,red_votes_2016,red_votes_2020,lat,long,cases,deaths,population
Meriwether,GA,0.568,0.6,33.04163534,-84.68859732,599,16,21152
Miller,GA,0.743,0.729,31.16568912,-84.73151117,316,2,5884
Mitchell,GA,0.544,0.551,31.22483255,-84.19381821,850,46,22574
Monroe,GA,0.696,0.709,33.014289,-83.92097166,774,55,26795
Montgomery,GA,0.749,0.746,32.17201038,-82.53527476,377,10,8962
Morgan,GA,0.695,0.703,33.59232073,-83.49129491,540,6,18013
Murray,GA,0.832,0.841,34.78897608,-84.74993177,1105,10,39444
Muscogee,GA,0.394,0.373,32.50931999,-84.87142262,6419,175,198647
Newton,GA,0.477,0.44,33.55514538,-83.8454714,2925,96,105042
Oconee,GA,0.677,0.659,33.83749973,-83.43679568,877,31,35972
Oglethorpe,GA,0.695,0.688,33.8786296,-83.08278123,432,13,14654
Paulding,GA,0.691,0.639,33.91969522,-84.86848792,3251,61,152399
Peach,GA,0.505,0.518,32.56934316,-83.82937,805,26,27027
Pickens,GA,0.833,0.822,34.46589159,-84.46406611,820,10,30343
Pierce,GA,0.864,0.873,31.35928155,-82.21598442,688,24,19141
Pike,GA,0.838,0.851,33.09310242,-84.38790389,395,11,17919
Polk,GA,0.777,0.781,34.00267074,-85.18677781,1751,29,41444
Pulaski,GA,0.677,0.691,32.23334561,-83.4754996,343,23,11396
Putnam,GA,0.691,0.699,33.32056115,-83.37552891,821,27,21430
Quitman,GA,0.551,0.546,31.86728114,-85.01773177,41,1,2140
Rabun,GA,0.791,0.781,34.88389445,-83.40304637,437,11,16354
Randolph,GA,0.439,0.453,31.76622818,-84.75732369,340,30,7206
Richmond,GA,0.326,0.308,33.35777107,-82.07026432,8160,185,201568
Rockdale,GA,0.358,0.291,33.65145002,-84.02202167,2175,41,88482
Schley,GA,0.771,0.791,32.2654021,-84.31258912,109,2,5168
Screven,GA,0.58,0.591,32.74976524,-81.60779441,454,11,14037
Seminole,GA,0.655,0.672,30.93464824,-84.86823924,396,11,8549
Spalding,GA,0.603,0.6,33.26310031,-84.28013991,1631,63,64192
Stephens,GA,0.787,0.788,34.55151201,-83.29405315,1293,42,25625
Stewart,GA,0.392,0.403,32.07996777,-84.83208037,571,16,5832
Sumter,GA,0.481,0.472,32.03650571,-84.19821492,967,68,30687
Talbot,GA,0.369,0.395,32.69642758,-84.53351366,180,8,6423
Taliaferro,GA,0.389,0.388,33.56543317,-82.88136816,31,0,1844
Tattnall,GA,0.74,0.74,32.04785085,-82.05539188,955,16,25402
Taylor,GA,0.606,0.63,32.55792548,-84.25077141,237,12,8267
Telfair,GA,0.645,0.652,31.92829517,-82.93491155,495,24,16339
Terrell,GA,0.448,0.454,31.77527543,-84.44069698,341,32,8978
Thomas,GA,0.599,0.593,30.86392347,-83.91847289,1625,71,44909
Tift,GA,0.678,0.662,31.45743864,-83.5236119,1984,65,40531
Toombs,GA,0.726,0.721,32.12059861,-82.32957247,1523,57,27160
Towns,GA,0.799,0.8,34.91369188,-83.7410746,455,13,11173
Treutlen,GA,0.67,0.683,32.40422134,-82.56904553,315,12,6752
Troup,GA,0.606,0.604,33.03349196,-85.02812115,3069,109,69433
Turner,GA,0.618,0.619,31.71612656,-83.62069378,339,24,8036
Twiggs,GA,0.502,0.533,32.67435595,-83.43078662,224,10,8323
Union,GA,0.818,0.811,34.82995757,-83.98967069,912,26,22262
Upson,GA,0.667,0.667,32.87920671,-84.30024826,843,70,26241
Walker,GA,0.791,0.787,34.73376362,-85.30165174,1952,46,68609
Walton,GA,0.769,0.74,33.78017694,-83.73552314,2394,70,88695
Ware,GA,0.7,0.695,31.05449097,-82.42224148,1765,65,35688
Warren,GA,0.425,0.439,33.41146451,-82.67795848,170,6,5410
Washington,GA,0.491,0.493,32.96711864,-82.79357039,792,13,20506
Wayne,GA,0.785,0.782,31.5521809,-81.91894878,1268,33,29833
Webster,GA,0.566,0.538,32.04066113,-84.54742852,44,2,2627
Wheeler,GA,0.676,0.693,32.12009104,-82.72574721,370,17,7952
White,GA,0.828,0.825,34.64624278,-83.74905525,1022,24,28509
Whitfield,GA,0.709,0.698,34.80987459,-84.96093476,5701,64,103963
Wilcox,GA,0.705,0.732,31.97496928,-83.43438555,259,25,8896
Wilkes,GA,0.575,0.561,33.78290391,-82.74286107,317,7,9905
Wilkinson,GA,0.545,0.558,32.80291082,-83.17140684,374,17,9147
Worth,GA,0.743,0.736,31.55162306,-83.85090513,612,35,20809
