name,red_votes_2016,blue_votes_2016,red_votes_2020,blue_votes_2020,lat,long,cases,deaths,population
Colorado,0.746,0.233,0.751,0.242,29.622098,-96.5273805,510,4,20913
Guadalupe,0.638,0.32,0.613,0.371,29.58165339,-97.94786822,3903,81,150889
Fort Bend,0.45,0.516,0.44,0.545,29.52704478,-95.77219463,17735,310,711421
Gonzales,0.727,0.249,0.739,0.251,29.45634206,-97.49424032,1133,20,20558
Bexar,0.41,0.545,0.402,0.583,29.44928723,-98.52019748,66064,1414,1892004
Galveston,0.593,0.367,0.607,0.379,29.40167322,-94.90469073,12703,169,321184
Lavaca,0.85,0.136,0.863,0.131,29.38508402,-96.93186692,1177,39,19859
Uvalde,0.54,0.432,0.597,0.394,29.35739637,-99.76229172,845,37,27015
Medina,0.701,0.269,0.691,0.298,29.3557301,-99.11030298,1294,49,48548
Kinney,0.657,0.321,0.714,0.278,29.34967888,-100.4186638,79,1,3631
Wharton,0.69,0.288,0.712,0.28,29.27765923,-96.22319248,1471,60,41430
Brazoria,0.604,0.358,0.584,0.401,29.18757369,-95.44563172,12501,185,345995
Wilson,0.727,0.249,0.738,0.254,29.1732598,-98.08693082,1004,28,47205
DeWitt,0.808,0.17,0.809,0.184,29.08101855,-97.3568117,1087,44,20474
Jackson,0.809,0.171,0.824,0.164,28.95472367,-96.57749563,656,16,14756
Karnes,0.707,0.273,0.757,0.233,28.90705334,-97.85960149,960,18,15051
Atascosa,0.632,0.341,0.665,0.324,28.89333001,-98.52730485,1287,37,48139
Frio,0.459,0.522,0.534,0.46,28.86751206,-99.10804207,1020,9,19110
Zavala,0.204,0.777,0.34,0.654,28.86617238,-99.76050829,470,19,12152
Matagorda,0.692,0.285,0.717,0.272,28.81955746,-96.01230294,1122,54,36744
Victoria,0.685,0.285,0.683,0.303,28.79780988,-96.96813006,4302,98,91518
Maverick,0.207,0.765,0.449,0.543,28.7429195,-100.3157686,4322,151,57471
Goliad,0.705,0.262,0.775,0.219,28.65696592,-97.42760647,166,6,7510
Calhoun,0.667,0.304,0.718,0.273,28.47048236,-96.61633945,935,9,21821
Dimmit,0.302,0.674,0.378,0.618,28.42270064,-99.75645095,294,7,10822
Bee,0.561,0.407,0.638,0.349,28.41761668,-97.74215593,1868,39,32729
McMullen,0.913,0.08,0.891,0.103,28.35251708,-98.56769164,25,1,600
Live Oak,0.809,0.173,0.831,0.162,28.35101362,-98.1246786,392,10,12043
La Salle,0.425,0.549,0.555,0.437,28.34453111,-99.09908775,381,13,7418
Refugio,0.621,0.351,0.657,0.329,28.3238976,-97.15766311,314,16,7293
Aransas,0.739,0.235,0.752,0.237,28.10556197,-96.9995047,351,18,24832
San Patricio,0.604,0.364,0.638,0.347,28.00880118,-97.51763891,1592,81,66867
Webb,0.228,0.744,0.379,0.611,27.7610369,-99.33237355,15413,355,269624
Nueces,0.488,0.472,0.508,0.478,27.736286,-97.5433285,21378,443,358484
Jim Wells,0.438,0.542,0.547,0.446,27.73103938,-98.0904705,1726,52,41318
Duval,0.316,0.669,0.484,0.51,27.68184592,-98.50864568,499,21,11434
Kleberg,0.46,0.497,0.503,0.485,27.42435506,-97.69894948,1034,52,31540
Jim Hogg,0.203,0.772,0.409,0.588,27.04453923,-98.6968187,183,6,5262
Brooks,0.236,0.746,0.402,0.592,27.03103197,-98.21808402,365,23,7251
Zapata,0.328,0.656,0.525,0.471,27.00156391,-99.16987152,358,9,14415
Kenedy,0.452,0.532,0.655,0.335,26.92601662,-97.66413984,11,2,564
Starr,0.19,0.791,0.471,0.521,26.56150059,-98.73892358,3585,186,63420
Willacy,0.303,0.672,0.437,0.556,26.47411727,-97.61535848,1251,56,21839
Hidalgo,0.281,0.686,0.409,0.58,26.39418217,-98.18299696,35785,1952,839539
Cameron,0.321,0.646,0.429,0.56,26.14524221,-97.48140372,24280,1083,420201
